State,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Tamil Nadu,THANJAVUR,2013-14,Rabi,7,59,8.43
Tamil Nadu,THANJAVUR,2014-15,Kharif,16,136,8.5
Tamil Nadu,THANJAVUR,2014-15,Rabi,3,26,8.67
Tamil Nadu,THANJAVUR,2015-16,Kharif,38,366,9.63
Tamil Nadu,THANJAVUR,2015-16,Rabi,3,19,6.33
Tamil Nadu,THANJAVUR,2016-17,Kharif,20,206,10.3
Tamil Nadu,THANJAVUR,2016-17,Rabi,2,10,5
Tamil Nadu,THANJAVUR,2017-18,Kharif,27,262,9.7
Tamil Nadu,THANJAVUR,2017-18,Rabi,29,270,9.31
Tamil Nadu,THANJAVUR,2018-19,Kharif,24,213,8.88
Tamil Nadu,THANJAVUR,2018-19,Rabi,22,125,5.68
Tamil Nadu,THANJAVUR,2019-20,Kharif,27,247,9.15
Tamil Nadu,THANJAVUR,2019-20,Rabi,26,184,7.08
Tamil Nadu,THE NILGIRIS,2014-15,Kharif,1,8,8
Tamil Nadu,THENI,2013-14,Kharif,525,6105,11.63
Tamil Nadu,THENI,2013-14,Rabi,369,3125,8.47
Tamil Nadu,THENI,2014-15,Kharif,731,8314,11.37
Tamil Nadu,THENI,2014-15,Rabi,381,3281,8.61
Tamil Nadu,THENI,2015-16,Kharif,691,8082,11.7
Tamil Nadu,THENI,2015-16,Rabi,231,2516,10.89
Tamil Nadu,THENI,2016-17,Kharif,528,7374,13.97
Tamil Nadu,THENI,2016-17,Rabi,247,3108,12.58
Tamil Nadu,THENI,2017-18,Kharif,490,6207,12.67
Tamil Nadu,THENI,2017-18,Rabi,431,4875,11.31
Tamil Nadu,THENI,2018-19,Kharif,646,6438,9.97
Tamil Nadu,THENI,2018-19,Rabi,286,1625,5.68
Tamil Nadu,THENI,2019-20,Kharif,407,3427,8.42
Tamil Nadu,THENI,2019-20,Rabi,370,2610,7.05
Tamil Nadu,THIRUVALLUR,2013-14,Kharif,2,23,11.5
Tamil Nadu,THIRUVALLUR,2013-14,Rabi,3,25,8.33
Tamil Nadu,THIRUVALLUR,2014-15,Kharif,1,8,8
Tamil Nadu,THIRUVALLUR,2014-15,Rabi,1,9,9
Tamil Nadu,THIRUVALLUR,2015-16,Rabi,1,6,6
Tamil Nadu,THIRUVALLUR,2016-17,Kharif,1,8,8
Tamil Nadu,THIRUVALLUR,2016-17,Rabi,1,5,5
Tamil Nadu,THIRUVALLUR,2018-19,Kharif,2,17,8.5
Tamil Nadu,THIRUVALLUR,2018-19,Rabi,7,38,5.43
Tamil Nadu,THIRUVALLUR,2019-20,Kharif,1,10,10
Tamil Nadu,THIRUVALLUR,2019-20,Rabi,5,37,7.4
Tamil Nadu,THIRUVARUR,2019-20,Kharif,1,9,9
Tamil Nadu,TIRUCHIRAPPALLI,2013-14,Kharif,425,2969,6.99
Tamil Nadu,TIRUCHIRAPPALLI,2013-14,Rabi,3533,30515,8.64
Tamil Nadu,TIRUCHIRAPPALLI,2014-15,Kharif,671,4769,7.11
Tamil Nadu,TIRUCHIRAPPALLI,2014-15,Rabi,2623,24235,9.24
Tamil Nadu,TIRUCHIRAPPALLI,2015-16,Kharif,1574,10488,6.66
Tamil Nadu,TIRUCHIRAPPALLI,2015-16,Rabi,2264,17390,7.68
Tamil Nadu,TIRUCHIRAPPALLI,2016-17,Kharif,1263,10823,8.57
Tamil Nadu,TIRUCHIRAPPALLI,2016-17,Rabi,2121,16313,7.69
Tamil Nadu,TIRUCHIRAPPALLI,2017-18,Kharif,734,4068,5.54
Tamil Nadu,TIRUCHIRAPPALLI,2017-18,Rabi,1325,15415,11.63
Tamil Nadu,TIRUCHIRAPPALLI,2018-19,Kharif,1829,12200,6.67
Tamil Nadu,TIRUCHIRAPPALLI,2018-19,Rabi,1935,13031,6.73
Tamil Nadu,TIRUCHIRAPPALLI,2019-20,Kharif,1181,9950,8.43
Tamil Nadu,TIRUCHIRAPPALLI,2019-20,Rabi,2173,17433,8.02
Tamil Nadu,TIRUNELVELI,2013-14,Kharif,773,10059,13.01
Tamil Nadu,TIRUNELVELI,2013-14,Rabi,115,974,8.47
Tamil Nadu,TIRUNELVELI,2014-15,Kharif,1731,18645,10.77
Tamil Nadu,TIRUNELVELI,2014-15,Rabi,170,1464,8.61
Tamil Nadu,TIRUNELVELI,2015-16,Kharif,2138,26019,12.17
Tamil Nadu,TIRUNELVELI,2015-16,Rabi,117,759,6.49
Tamil Nadu,TIRUNELVELI,2016-17,Kharif,2300,23753,10.33
Tamil Nadu,TIRUNELVELI,2016-17,Rabi,194,982,5.06
Tamil Nadu,TIRUNELVELI,2017-18,Kharif,148,1477,9.98
Tamil Nadu,TIRUNELVELI,2017-18,Rabi,53,493,9.3
Tamil Nadu,TIRUNELVELI,2018-19,Kharif,1071,14979,13.99
Tamil Nadu,TIRUNELVELI,2018-19,Rabi,72,409,5.68
Tamil Nadu,TIRUNELVELI,2019-20,Kharif,988,14109,14.28
Tamil Nadu,TIRUNELVELI,2019-20,Rabi,80,558,6.98
Tamil Nadu,TIRUPPUR,2013-14,Kharif,1152,15517,13.47
Tamil Nadu,TIRUPPUR,2013-14,Rabi,1388,15616,11.25
Tamil Nadu,TIRUPPUR,2014-15,Kharif,1090,8874,8.14
Tamil Nadu,TIRUPPUR,2014-15,Rabi,1880,22344,11.89
Tamil Nadu,TIRUPPUR,2015-16,Kharif,1816,28021,15.43
